"Maker","Prod","ID","Desc","Color","Discon"
"Anchor","Emb","254","Parrot Green - LT","c7dd63","0"
"Anchor","Emb","282","Sea Foam","bbcacb","0"
"Anchor","Emb","218","Juniper - DK","154725","0"
"Anchor","Emb","281","Olive Green - DK","75672c","0"
"Anchor","Emb","1043","Grass Green - VY LT","cee5ad","0"
"Anchor","Emb","862","Laurel Green - DK","314424","0"
"Anchor","Emb","391","Linen","cabaa0","0"
"Anchor","Emb","392","Linen - MED","a38b6c","0"
"Anchor","Emb","387","Ecru","efdab6","0"
"Anchor","Emb","388","Ecru - MED","c9b397","0"
"Anchor","Emb","29","Carnation - DK","cc0a22","0"
"Anchor","Emb","1039","Glacier Blue - MED DK","579cb1","0"
"Anchor","Emb","208","Spruce - MED LT","63ae80","0"
"Anchor","Emb","896","Rose Wine - DK","a2424f","0"
"Anchor","Emb","204","Mint Green - MED","64bb87","0"
"Anchor","Emb","903","Tawny - MED","897050","0"
"Anchor","Emb","1068",,"004457","0"
"Anchor","Emb","273","Stone Gray - DK","554d3a","0"
"Anchor","Emb","342","Lilac - LT","d9bedd","0"
"Anchor","Emb","343","Slate Blue","8ca2b4","0"
"Anchor","Emb","158","Sapphire - VY LT","cee9e9","0"
"Anchor","Emb","224","Ocean Green","004328","0"
"Anchor","Emb","410","Ice Blue - DK","0078a9","0"
"Anchor","Emb","1070",,"54ac99","0"
"Anchor","Emb","975","Sea Blue - LT","aac5cb","0"
"Anchor","Emb","255","Parrot Green - MED LT","8baf22","0"
"Anchor","Emb","74","Antique Rose - LT","f49baf","0"
"Anchor","Emb","900","Pewter - LT","a9a995","0"
"Anchor","Emb","675","Blue Mist Very","004c56","0"
"Anchor","Emb","874","Saffron - MED","d6af5c","0"
"Anchor","Emb","393","Linen - DK","766139","0"
"Anchor","Emb","399","Gray - MED LT","929293","0"
"Anchor","Emb","127","Indigo","00003f","0"
"Anchor","Emb","853","Turf - LT","bea975","0"
"Anchor","Emb","398","Gray","afb0ad","0"
"Anchor","Emb","401","Gray - DK","3e3a41","0"
"Anchor","Emb","433","Ice Blue","00a6de","0"
"Anchor","Emb","851","Blue Mist - DK","295056","0"
"Anchor","Emb","403","Black","000000","0"
"Anchor","Emb","802","Olive Green Very","f7ef95","0"
"Anchor","Emb","24","Carnation - VY LT","faa6ab","0"
"Anchor","Emb","140","Copen Blue - LT","7fa5c8","0"
"Anchor","Emb","243","Grass Green - MED","58924a","0"
"Anchor","Emb","240","Grass Green - LT","9fcd88","0"
"Anchor","Emb","241","Grass Green","87c677","0"
"Anchor","Emb","244","Grass Green - MED DK","377739","0"
"Anchor","Emb","25","Carnation - LT","f49aa9","0"
"Anchor","Emb","253","Parrot Green - VY LT","cfe080","0"
"Anchor","Emb","245","Grass Green - DK","156817","0"
"Anchor","Emb","877","Pine - MED","417160","0"
"Anchor","Emb","262","Loden Green - MED","466633","0"
"Anchor","Emb","119","Thistle - MED","503682","0"
"Anchor","Emb","234","Charcoal Gray - LT","cdd0cd","0"
