"Maker","Prod","ID","Desc","Hex","Discon"
"DMC","Emb","150","Ultra V DK Dusty Rose","cf0053","0"
"DMC","Emb","151","V LT Dusty Rose","ffcbd7","0"
"DMC","Emb","152","MD LT Shell Pink","e1a1a1","0"
"DMC","Emb","153","V LT Violet","eac5eb","0"
"DMC","Emb","154","V DK Grape","4b233a","0"
"DMC","Emb","155","MD DK Blue Violet","9774b6","0"
"DMC","Emb","156","MD LT Blue Violet","8577b4","0"
"DMC","Emb","157","V LT Cornflower Blue","b5b8ea","0"
"DMC","Emb","158","MD V DK Cornflower Blue","393068","0"
"DMC","Emb","159","LT Gray Blue","bcb5de","0"
"DMC","Emb","160","MD Gray Blue","8178a9","0"
"DMC","Emb","161","Gray Blue","60568b","0"
"DMC","Emb","162","Ultra V LT Blue","cae7f0","0"
"DMC","Emb","163","MD Celadon Green","557a60","0"
"DMC","Emb","164","LT Forest Green","bae4b6","0"
"DMC","Emb","165","V LT Moss Green","e1f477","0"
"DMC","Emb","166","MD LT Moss Green","adc238","0"
"DMC","Emb","167","V DK Yellow Beige","855d31","0"
"DMC","Emb","168","V LT Pewter","b1aeb7","0"
"DMC","Emb","169","LT Pewter","827d7d","0"
"DMC","Emb","208","V DK Lavender","9442a7","0"
"DMC","Emb","209","DK Lavender","ba72c6","0"
"DMC","Emb","210","MD Lavender","d49fe1","0"
"DMC","Emb","211","LT Lavender","e5bded","0"
"DMC","Emb","221","V DK Shell Pink","792631","0"
"DMC","Emb","223","LT Shell Pink","bb6864","0"
"DMC","Emb","224","V LT Shell Pink","e2a598","0"
"DMC","Emb","225","Ultra V LT Shell Pink","f8d9cd","0"
"DMC","Emb","300","V DK Mahogany","6c3116","0"
"DMC","Emb","301","MD Mahogany","aa5237","0"
"DMC","Emb","3011","DK Khaki Green","655935","0"
"DMC","Emb","3012","MD Khaki Green","8b7b4e","0"
"DMC","Emb","3013","LT Khaki Green","afa97b","0"
"DMC","Emb","3021","V DK Brown Gray","50403b","0"
"DMC","Emb","3022","MD Brown Gray","848274","0"
"DMC","Emb","3023","LT Brown Gray","a29b86","0"
"DMC","Emb","3024","V LT Brown Gray","beb8ac","0"
"DMC","Emb","3031","V DK Mocha Brown","423014","0"
"DMC","Emb","3032","MD Mocha Brown","9d8868","0"
"DMC","Emb","3033","V LT Mocha Brown","dbc7ad","0"
"DMC","Emb","304","MD Red","a10c39","0"
"DMC","Emb","3041","MD Antique Violet","866a76","0"
"DMC","Emb","3042","LT Antique Violet","af98a0","0"
"DMC","Emb","3045","DK Yellow Beige","af8152","0"
"DMC","Emb","3046","MD Yellow Beige","ceb074","0"
"DMC","Emb","3047","LT Yellow Beige","ead8ab","0"
"DMC","Emb","3051","DK Green Gray","4c4c1e","0"
"DMC","Emb","3052","MD Green Gray","787e5c","0"
"DMC","Emb","3053","Green Gray","999d75","0"
"DMC","Emb","3064","Desert Sand","ba7056","0"
"DMC","Emb","307","Lemon","fde949","0"
"DMC","Emb","3072","V LT Beaver Gray","d2d2ca","0"
"DMC","Emb","3078","V LT Golden Yellow","fcf6b6","0"
"DMC","Emb","309","DK Rose","ba2044","0"
"DMC","Emb","310","Black","000000","0"
"DMC","Emb","311","MD Navy Blue","002a64","0"
"DMC","Emb","312","V DK Baby Blue","1f3279","0"
"DMC","Emb","315","MD DK Antique Mauve","7d4246","0"
"DMC","Emb","316","MD Antique Mauve","bc757f","0"
"DMC","Emb","317","Pewter Gray","6d6469","0"
"DMC","Emb","318","LT Steel Gray","999b9d","0"
"DMC","Emb","319","V DK Pistachio Green","3a553b","0"
"DMC","Emb","320","MD Pistachio Green","608c59","0"
"DMC","Emb","321","Red","bd1136","0"
"DMC","Emb","322","DK Baby Blue","3a609d","0"
"DMC","Emb","326","V DK Rose","ac1c37","0"
"DMC","Emb","327","DK Violet","5e0f77","0"
"DMC","Emb","3325","LT Baby Blue","adcde7","0"
"DMC","Emb","3326","LT Rose","f9979c","0"
"DMC","Emb","3328","DK Salmon","be444a","0"
"DMC","Emb","333","V DK Blue Violet","6e2e9b","0"
"DMC","Emb","334","MD Baby Blue","6085b8","0"
"DMC","Emb","3340","MD Apricot","fd6b4f","0"
"DMC","Emb","3341","Apricot","fd8e78","0"
"DMC","Emb","3345","DK Hunter Green","40552e","0"
"DMC","Emb","3346","Hunter Green","56743b","0"
"DMC","Emb","3347","MD Yellow Green","6d9646","0"
"DMC","Emb","3348","LT Yellow Green","bedf74","0"
"DMC","Emb","335","Rose","d63d57","0"
"DMC","Emb","3350","Ultra DK Dusty Rose","aa3949","0"
"DMC","Emb","3354","LT Dusty Rose","efa5ac","0"
"DMC","Emb","336","Navy Blue","0c275e","0"
"DMC","Emb","3362","DK Pine Green","49523c","0"
"DMC","Emb","3363","MD Pine Green","617451","0"
"DMC","Emb","3364","Pine Green","8e9b6d","0"
"DMC","Emb","3371","Black Brown","36220e","0"
"DMC","Emb","340","MD Blue Violet","996dc3","0"
"DMC","Emb","341","LT Blue Violet","a39ad7","0"
"DMC","Emb","347","V DK Salmon","ab1b33","0"
"DMC","Emb","349","DK Coral","c62c38","0"
"DMC","Emb","350","MD Coral","de3f40","0"
"DMC","Emb","351","Coral","ed625b","0"
"DMC","Emb","352","LT Coral","f78372","0"
"DMC","Emb","353","Peach","fdb4a1","0"
"DMC","Emb","355","DK Terra Cotta","97382b","0"
"DMC","Emb","356","MD Terra Cotta","be5c4b","0"
"DMC","Emb","3607","LT Plum","d94c9d","0"
"DMC","Emb","3608","V LT Plum","ec81be","0"
"DMC","Emb","3609","Ultra LT Plum","f6b0df","0"
"DMC","Emb","367","DK Pistachio Green","446b45","0"
"DMC","Emb","368","LT Pistachio Green","7fc66d","0"
"DMC","Emb","3685","V DK Mauve","79263b","0"
"DMC","Emb","3687","Mauve","b5455d","0"
"DMC","Emb","3688","MD Mauve","dc7c86","0"
"DMC","Emb","3689","LT Mauve","f8bbc8","0"
"DMC","Emb","369","V LT Pistachio Green","cdefa6","0"
"DMC","Emb","370","MD Mustard","917245","0"
"DMC","Emb","3705","DK Melon","f2494f","0"
"DMC","Emb","3706","MD Melon","fd6e70","0"
"DMC","Emb","3708","LT Melon","fda0ae","0"
"DMC","Emb","371","Mustard","9f8352","0"
"DMC","Emb","3712","MD Salmon","d95d5d","0"
"DMC","Emb","3713","V LT Salmon","fdd5d0","0"
"DMC","Emb","3716","V LT Dusty Rose","fcafb9","0"
"DMC","Emb","372","LT Mustard","ad9564","0"
"DMC","Emb","3721","DK Shell Pink","933b3d","0"
"DMC","Emb","3722","MD Shell Pink","a04b4c","0"
"DMC","Emb","3726","DK Antique Mauve","95565c","0"
"DMC","Emb","3727","LT Antique Mauve","da9ea6","0"
"DMC","Emb","3731","V DK Dusty Rose","c34c5c","0"
"DMC","Emb","3733","Dusty Rose","ea7e86","0"
"DMC","Emb","3740","DK Antique Violet","71535d","0"
"DMC","Emb","3743","V LT Antique Violet","cfc2c9","0"
"DMC","Emb","3746","DK Blue Violet","844ab5","0"
"DMC","Emb","3747","V LT Blue Violet","d0c5ec","0"
"DMC","Emb","3750","V DK Antique Blue","1d4552","0"
"DMC","Emb","3752","V LT Antique Blue","bac9cc","0"
"DMC","Emb","3753","Ultra V LT Antique Blue","d9e6ec","0"
"DMC","Emb","3755","Baby Blue","81a5d8","0"
"DMC","Emb","3756","Ultra V LT Baby Blue","e9f4fa","0"
"DMC","Emb","3760","MD Wedgewood","467293","0"
"DMC","Emb","3761","LT Sky Blue","b1d0df","0"
"DMC","Emb","3765","V DK Peacock Blue","175e78","0"
"DMC","Emb","3766","LT Peacock Blue","4b8aa1","0"
"DMC","Emb","3768","DK Gray Green","4c605f","0"
"DMC","Emb","3770","V LT Tawny","fef1d8","0"
"DMC","Emb","3771","Ultra V LT Terra Cotta","e8ac9b","0"
"DMC","Emb","3772","V DK Desert Sand","995744","0"
"DMC","Emb","3773","MD Desert Sand","cf866d","0"
"DMC","Emb","3774","V LT Desert Sand","f3cfb4","0"
"DMC","Emb","3776","LT Mahogany","c96444","0"
"DMC","Emb","3777","V DK Terra Cotta","922f25","0"
"DMC","Emb","3778","LT Terra Cotta","d2705c","0"
