"Maker","Prod","ID","Desc","Hex","Discon"
"JP Coats","Emb","5347",,"eda183","0"
"JP Coats","Emb","5477","Coffee Brown - VY DEEP","652d00","0"
"JP Coats","Emb","7021","Delft","a5bbcb","0"
"JP Coats","Emb","3000","Garnet","b50051","0"
"JP Coats","Emb","6001","Parrot Green - LT","a0b357","0"
"JP Coats","Emb","5933","Beige Gray - LT","eee6dc","0"
"JP Coats","Emb","5376","Beige Brown - LT","b78571","0"
"JP Coats","Emb","3337","Apricot","b84d2c","0"
"JP Coats","Emb","6878","Blue Green - DEEP","405e52","0"
"JP Coats","Emb","5388","Mocha Brown - LT","ccb5a3","0"
"JP Coats","Emb","5382","Black Brown","501b08","0"
"JP Coats","Emb","6186","Sea Green - DEEP","00a18b","0"
"JP Coats","Emb","6017","Pistachio","7c9a7a","0"
"JP Coats","Emb","6225","Nile","7fb488","0"
"JP Coats","Emb","6211","Jade - VY DEEP","2f5843","0"
"JP Coats","Emb","6205","Emerald","3d8867","0"
"JP Coats","Emb","7159","Blue - VY LT","bdd5de","0"
"JP Coats","Emb","1002","Cream","f9f2e3","0"
"JP Coats","Emb","6030","Nile Green","96c89c","0"
"JP Coats","Emb","6267","Olive Green","466e1a","0"
"JP Coats","Emb","6018","Pistachio Grn - DEEP","4a6d54","0"
"JP Coats","Emb","8403","Pewter Gray - VY DEEP","1f1f22","0"
"JP Coats","Emb","3152","Carnation - LT","fa5a66","0"
"JP Coats","Emb","5363","Tan","df9d5a","0"
"JP Coats","Emb","3013","Salmon - VY DEEP","c62148","0"
"JP Coats","Emb","8397","Brown Gray - VY LT","d6d3d0","0"
"JP Coats","Emb","3150","Mauve - LT","fad9e0","0"
"JP Coats","Emb","6269","Avocado Green - VY DEEP","3f4a18","0"
"JP Coats","Emb","1001","White","ffffff","0"
"JP Coats","Emb","3176","Dusty Rose - DEEP","e86b7f","0"
"JP Coats","Emb","3153","Dusty","fe8898","0"
"JP Coats","Emb","5349","Mahogany - DEEP","973a17","0"
"JP Coats","Emb","4097","Violet","b06e9d","0"
